,Unnamed: 0_level_0 - Rk,Unnamed: 1_level_0 - Tm,Unnamed: 2_level_0 - G,Unnamed: 3_level_0 - PA,Unnamed: 4_level_0 - Yds,Tot Yds & TO - Ply,Tot Yds & TO - Y/P,Tot Yds & TO - TO,Unnamed: 8_level_0 - FL,Unnamed: 9_level_0 - 1stD,Passing - Cmp,Passing - Att,Passing - Yds,Passing - TD,Passing - Int,Passing - NY/A,Passing - 1stD,Rushing - Att,Rushing - Yds,Rushing - TD,Rushing - Y/A,Rushing - 1stD,Penalties - Pen,Penalties - Yds,Penalties - 1stPy,Unnamed: 25_level_0 - Sc%,Unnamed: 26_level_0 - TO%,Unnamed: 27_level_0 - EXP
0,1.0,Cleveland Browns,5.0,77.0,1002.0,262.0,3.8,4.0,2.0,52.0,69.0,133.0,607.0,4.0,2.0,4.1,27.0,114.0,395.0,3.0,3.5,18.0,37.0,328.0,7.0,18.8,6.3,57.01
1,2.0,San Francisco 49ers,6.0,87.0,1668.0,371.0,4.5,11.0,1.0,102.0,149.0,235.0,1187.0,5.0,10.0,4.7,56.0,121.0,481.0,3.0,4.0,34.0,46.0,386.0,12.0,29.7,17.2,46.78
2,3.0,Tampa Bay Buccaneers,5.0,88.0,1654.0,322.0,5.1,10.0,4.0,94.0,126.0,193.0,1235.0,6.0,6.0,5.9,62.0,114.0,419.0,2.0,3.7,25.0,26.0,186.0,7.0,34.6,19.2,-0.75
3,4.0,Kansas City Chiefs,6.0,88.0,1704.0,359.0,4.7,9.0,6.0,104.0,126.0,207.0,1103.0,7.0,3.0,4.9,61.0,135.0,601.0,1.0,4.5,32.0,26.0,232.0,11.0,24.6,14.8,21.9
4,5.0,Buffalo Bills,6.0,89.0,1943.0,356.0,5.5,13.0,5.0,110.0,123.0,183.0,1141.0,4.0,8.0,5.5,64.0,149.0,802.0,4.0,5.4,34.0,31.0,274.0,12.0,26.6,20.3,14.29
5,6.0,Baltimore Ravens,6.0,91.0,1565.0,389.0,4.0,8.0,3.0,103.0,131.0,218.0,979.0,4.0,5.0,4.0,56.0,147.0,586.0,1.0,4.0,31.0,36.0,266.0,16.0,30.0,8.6,53.66
6,7.0,Dallas Cowboys,6.0,100.0,1732.0,347.0,5.0,12.0,4.0,99.0,102.0,170.0,1062.0,8.0,8.0,5.7,51.0,161.0,670.0,4.0,4.2,32.0,40.0,344.0,16.0,27.3,18.2,38.29
7,8.0,Seattle Seahawks,5.0,108.0,1684.0,344.0,4.9,7.0,3.0,107.0,137.0,200.0,1288.0,7.0,4.0,5.9,70.0,125.0,396.0,5.0,3.2,26.0,35.0,247.0,11.0,36.4,12.7,-0.94
8,9.0,Pittsburgh Steelers,5.0,110.0,1947.0,350.0,5.6,11.0,6.0,104.0,108.0,182.0,1228.0,8.0,5.0,6.2,62.0,151.0,719.0,3.0,4.8,35.0,36.0,309.0,7.0,34.4,18.0,14.06
9,10.0,Green Bay Packers,5.0,113.0,1689.0,345.0,4.9,5.0,1.0,108.0,107.0,162.0,972.0,5.0,4.0,5.5,55.0,168.0,717.0,6.0,4.3,47.0,32.0,371.0,6.0,38.2,9.1,-10.89
10,11.0,Houston Texans,6.0,113.0,2124.0,391.0,5.4,9.0,5.0,121.0,151.0,214.0,1473.0,4.0,4.0,6.6,69.0,168.0,651.0,8.0,3.9,45.0,43.0,353.0,7.0,33.3,12.7,-20.97
11,12.0,Detroit Lions,6.0,113.0,1715.0,366.0,4.7,8.0,2.0,115.0,141.0,232.0,1327.0,8.0,6.0,5.4,73.0,119.0,388.0,3.0,3.3,25.0,32.0,238.0,17.0,32.3,12.3,17.48
12,13.0,Los Angeles Rams,6.0,117.0,1982.0,383.0,5.2,5.0,2.0,120.0,116.0,204.0,1249.0,4.0,3.0,5.8,65.0,169.0,733.0,6.0,4.3,40.0,36.0,312.0,15.0,39.7,7.9,-11.81
13,14.0,Tennessee Titans,6.0,117.0,2034.0,378.0,5.4,5.0,3.0,112.0,138.0,193.0,1422.0,6.0,2.0,6.8,67.0,170.0,612.0,3.0,3.6,34.0,38.0,317.0,11.0,45.0,6.7,-32.37
14,15.0,New York Jets,6.0,119.0,2111.0,412.0,5.1,13.0,5.0,128.0,141.0,214.0,1300.0,8.0,8.0,5.7,71.0,185.0,811.0,2.0,4.4,46.0,31.0,244.0,11.0,36.2,17.4,1.92
15,16.0,Atlanta Falcons,6.0,120.0,1669.0,355.0,4.7,4.0,1.0,101.0,113.0,184.0,1075.0,10.0,3.0,5.5,63.0,161.0,594.0,1.0,3.7,28.0,40.0,315.0,10.0,34.3,6.0,4.45
16,17.0,Los Angeles Chargers,5.0,124.0,1958.0,336.0,5.8,8.0,5.0,123.0,125.0,188.0,1445.0,8.0,3.0,6.9,71.0,127.0,513.0,6.0,4.0,34.0,39.0,293.0,18.0,42.6,13.0,-45.34
17,18.0,Philadelphia Eagles,6.0,124.0,1788.0,365.0,4.9,8.0,6.0,115.0,150.0,234.0,1393.0,11.0,2.0,5.5,81.0,111.0,395.0,3.0,3.6,22.0,34.0,242.0,12.0,33.9,11.3,-4.53
18,19.0,New Orleans Saints,7.0,127.0,2000.0,420.0,4.8,12.0,4.0,117.0,134.0,232.0,1309.0,8.0,8.0,5.3,64.0,175.0,691.0,3.0,3.9,35.0,47.0,362.0,18.0,29.8,13.1,32.78
19,20.0,Cincinnati Bengals,6.0,127.0,2135.0,383.0,5.6,10.0,2.0,124.0,119.0,194.0,1278.0,8.0,8.0,6.0,67.0,170.0,857.0,5.0,5.0,45.0,29.0,234.0,12.0,36.8,14.7,-10.21
20,21.0,Las Vegas Raiders,6.0,131.0,1892.0,368.0,5.1,5.0,0.0,119.0,127.0,186.0,1162.0,8.0,5.0,5.8,58.0,169.0,730.0,7.0,4.3,44.0,37.0,289.0,17.0,40.0,8.3,-44.92
21,22.0,Minnesota Vikings,6.0,135.0,1987.0,404.0,4.9,6.0,3.0,123.0,152.0,202.0,1313.0,9.0,3.0,6.0,69.0,184.0,674.0,5.0,3.7,47.0,43.0,353.0,7.0,37.5,9.4,-12.52
22,23.0,Jacksonville Jaguars,7.0,146.0,2481.0,462.0,5.4,16.0,7.0,130.0,185.0,291.0,1917.0,10.0,9.0,6.3,88.0,158.0,564.0,5.0,3.6,36.0,47.0,443.0,6.0,28.9,18.1,23.51
23,24.0,New England Patriots,6.0,152.0,1840.0,387.0,4.8,3.0,1.0,109.0,129.0,193.0,1216.0,6.0,2.0,5.9,67.0,182.0,624.0,5.0,3.4,33.0,37.0,270.0,9.0,37.1,4.3,3.64
24,25.0,Indianapolis Colts,6.0,152.0,2143.0,418.0,5.1,8.0,4.0,127.0,146.0,215.0,1462.0,7.0,4.0,6.3,71.0,185.0,681.0,9.0,3.7,43.0,25.0,238.0,13.0,38.7,10.7,-14.49
25,26.0,Miami Dolphins,6.0,156.0,2062.0,398.0,5.2,5.0,3.0,129.0,145.0,209.0,1375.0,8.0,2.0,6.0,70.0,168.0,687.0,7.0,4.1,46.0,31.0,235.0,13.0,37.9,7.6,-19.12
26,27.0,Arizona Cardinals,6.0,162.0,2260.0,394.0,5.7,7.0,3.0,147.0,141.0,199.0,1460.0,9.0,4.0,6.7,79.0,177.0,800.0,8.0,4.5,55.0,44.0,372.0,13.0,47.5,9.8,-59.11
27,28.0,New York Giants,6.0,167.0,2187.0,357.0,6.1,5.0,2.0,125.0,115.0,179.0,1302.0,8.0,3.0,7.1,64.0,173.0,885.0,9.0,5.1,47.0,40.0,331.0,14.0,42.6,8.2,-49.34
28,29.0,Chicago Bears,6.0,176.0,2141.0,372.0,5.8,5.0,2.0,117.0,147.0,209.0,1604.0,13.0,3.0,7.4,74.0,154.0,537.0,4.0,3.5,35.0,32.0,266.0,8.0,42.2,7.8,-52.08
29,30.0,Washington Commanders,6.0,176.0,2263.0,395.0,5.7,8.0,3.0,120.0,127.0,207.0,1489.0,12.0,5.0,6.6,68.0,169.0,774.0,4.0,4.6,44.0,42.0,372.0,8.0,51.6,12.5,-34.23
30,31.0,Carolina Panthers,6.0,186.0,2053.0,362.0,5.7,5.0,0.0,123.0,113.0,170.0,1187.0,10.0,5.0,6.5,65.0,178.0,866.0,12.0,4.9,50.0,32.0,254.0,8.0,43.5,7.2,-41.73
31,32.0,Denver Broncos,6.0,200.0,2642.0,394.0,6.7,6.0,2.0,144.0,149.0,195.0,1608.0,14.0,4.0,7.7,79.0,185.0,1034.0,8.0,5.6,49.0,50.0,469.0,16.0,53.1,7.8,-95.86
32,,Avg Team,,127.8,1939.2,373.3,5.2,7.8,3.1,114.8,130.7,200.8,1286.5,7.7,4.7,5.9,65.8,156.9,652.7,4.8,4.2,37.4,36.7,304.5,11.5,36.2,11.6,-7.2
33,,League Total,,4091.0,62055.0,11945.0,5.2,251.0,100.0,3672.0,4182.0,6427.0,41168.0,247.0,151.0,5.9,2107.0,5022.0,20887.0,155.0,4.2,1197.0,1174.0,9745.0,368.0,36.2,11.6,
34,,Avg Tm/G,,21.8,330.1,63.5,5.2,1.3,0.5,19.5,22.2,34.2,219.0,1.3,0.8,5.9,11.2,26.7,111.1,0.8,4.2,6.4,6.2,51.8,2.0,36.2,11.6,
