,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
0,1,Travis Etienne,JAX,24,RB,7,7,127,504,7,26,48.8,35,4.0,72.0,0
1,2,Christian McCaffrey,SFO,27,RB,6,6,110,553,7,30,53.6,65,5.0,92.2,2
2,3,Josh Jacobs,LVR,25,RB,6,6,107,312,2,16,43.9,24,2.9,52.0,0
3,4,Derrick Henry,TEN,29,RB,6,6,98,425,3,20,44.9,63,4.3,70.8,0
4,5,Dameon Pierce,HOU,23,RB,6,6,97,281,1,11,41.2,15,2.9,46.8,0
5,6,Kyren Williams,LAR,23,RB,6,5,97,456,6,26,60.8,31,4.7,76.0,1
6,7,Joe Mixon,CIN,27,RB,6,6,96,366,1,22,49.0,22,3.8,61.0,0
7,8,Zack Moss,IND,26,RB,5,5,96,466,4,26,49.0,56,4.9,93.2,0
8,9,Tony Pollard,DAL,26,RB,6,6,96,370,2,21,49.0,31,3.9,61.7,2
9,10,David Montgomery,DET,26,RB,5,5,94,385,6,23,55.3,42,4.1,77.0,2
10,11,Isiah Pacheco,KAN,24,RB,6,5,87,387,3,24,52.9,48,4.4,64.5,0
11,12,D'Andre Swift,PHI,24,RB,6,5,86,452,2,22,61.6,43,5.3,75.3,1
12,13,Kenneth Walker III,SEA,23,RB,5,5,83,345,6,21,50.6,36,4.2,69.0,0
13,14,Alexander Mattison,MIN,25,RB,6,6,82,320,0,11,46.3,17,3.9,53.3,1
14,15,Bijan Robinson,ATL,21,RB,6,6,80,401,0,22,45.0,38,5.0,66.8,1
15,16,Rhamondre Stevenson,NWE,25,RB,6,6,78,234,2,12,44.9,15,3.0,39.0,0
16,17,Brian Robinson Jr.,WAS,24,RB,6,6,77,302,3,22,46.8,27,3.9,50.3,1
17,18,Tyler Allgeier,ATL,23,RB,6,1,75,242,2,16,44.0,22,3.2,40.3,0
18,19,James Cook,BUF,24,RB,6,5,75,363,1,17,53.3,36,4.8,60.5,0
19,20,Raheem Mostert,MIA,31,RB,6,6,75,429,9,23,57.3,49,5.7,71.5,3
20,21,Gus Edwards,BAL,28,RB,6,3,72,282,1,16,47.2,20,3.9,47.0,0
21,22,Rachaad White,TAM,24,RB,5,5,70,232,1,11,44.3,13,3.3,46.4,1
22,23,Alvin Kamara,NOR,28,RB,4,4,69,261,1,17,46.4,17,3.8,65.3,0
23,24,James Conner,ARI,28,RB,5,5,68,364,2,16,48.5,35,5.4,72.8,0
24,25,Jerome Ford,CLE,24,RB,5,2,67,270,1,9,37.3,69,4.0,54.0,1
25,26,Breece Hall,NYJ,22,RB,6,6,66,426,2,15,45.5,83,6.5,71.0,2
26,27,AJ Dillon,GNB,25,RB,5,3,64,194,1,12,50.0,14,3.0,38.8,0
27,28,Najee Harris,PIT,25,RB,5,5,63,247,0,12,44.4,24,3.9,49.4,0
28,29,Jalen Hurts,PHI,25,QB,6,6,63,253,5,28,61.9,24,4.0,42.2,1
29,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
30,30,Miles Sanders,CAR,26,RB,5,5,61,190,1,9,34.4,15,3.1,38.0,2
31,31,Lamar Jackson,BAL,26,QB,6,6,60,327,4,23,56.7,26,5.5,54.5,7
32,32,Joshua Kelley,LAC,26,RB,5,3,58,209,1,15,44.8,22,3.6,41.8,0
33,33,Chuba Hubbard,CAR,24,RB,6,1,54,242,1,18,64.8,21,4.5,40.3,0
34,34,Saquon Barkley,NYG,26,RB,3,3,53,207,1,10,39.6,34,3.9,69.0,0
35,35,Khalil Herbert,CHI,25,RB,5,5,51,272,0,12,51.0,34,5.3,54.4,1
36,36,Ezekiel Elliott,NWE,28,RB,6,0,49,193,1,14,46.9,14,3.9,32.2,1
37,37,Javonte Williams,DEN,23,RB,5,4,48,190,0,10,47.9,18,4.0,38.0,0
38,38,Justin Fields,CHI,24,QB,6,6,47,237,1,16,55.3,20,5.0,39.5,4
39,39,Kenneth Gainwell,PHI,24,RB,5,1,41,141,0,7,39.0,16,3.4,28.2,1
40,40,Trevor Lawrence,JAX,24,QB,7,7,41,206,0,11,43.9,26,5.0,29.4,6
41,41,Dalvin Cook,NYJ,28,RB,6,0,39,109,0,7,38.5,10,2.8,18.2,1
42,42,Jahmyr Gibbs,DET,21,RB,4,1,39,179,0,8,35.9,21,4.6,44.8,0
43,43,Devin Singletary,HOU,26,RB,6,0,39,153,0,5,48.7,17,3.9,25.5,0
44,44,De'Von Achane,MIA,22,RB,4,1,38,460,5,15,71.1,76,12.1,115.0,1
45,45,Daniel Jones,NYG,26,QB,5,5,38,197,1,15,52.6,17,5.2,39.4,4
46,46,Justice Hill,BAL,26,RB,5,2,37,150,3,11,48.6,15,4.1,30.0,1
47,47,Matt Breida,NYG,28,RB,6,3,34,95,1,4,38.2,8,2.8,15.8,1
48,48,Joshua Dobbs,ARI,28,QB,6,6,34,189,1,14,47.1,44,5.6,31.5,6
49,49,Jaylen Warren,PIT,25,RB,5,0,34,124,0,7,44.1,18,3.6,24.8,1
50,50,Cam Akers,2TM,24,,4,1,33,92,1,6,39.4,12,2.8,23.0,0
51,51,Jamaal Williams,NOR,28,RB,3,2,32,88,0,3,43.8,11,2.8,29.3,1
52,52,Latavius Murray,BUF,33,RB,6,1,31,128,2,9,54.8,29,4.1,21.3,0
53,53,Tyjae Spears,TEN,22,RB,6,0,31,171,1,10,58.1,22,5.5,28.5,0
54,54,Clyde Edwards-Helaire,KAN,24,RB,6,1,30,100,1,5,33.3,16,3.3,16.7,0
55,55,Austin Ekeler,LAC,28,RB,2,2,30,144,1,5,60.0,55,4.8,72.0,0
56,56,Taysom Hill,NOR,33,QB,7,4,29,140,1,10,65.5,19,4.8,20.0,0
57,57,Patrick Mahomes,KAN,28,QB,6,6,29,185,0,14,58.6,25,6.4,30.8,1
58,58,Jaleel McLaughlin,DEN,23,RB,6,1,29,190,1,6,55.2,38,6.6,31.7,0
59,59,Nick Chubb,CLE,28,RB,2,2,28,170,0,8,57.1,20,6.1,85.0,0
60,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
61,60,Rico Dowdle,DAL,25,RB,6,0,28,107,0,5,57.1,10,3.8,17.8,0
62,61,Justin Herbert,LAC,25,QB,5,5,26,75,3,9,38.5,15,2.9,15.0,1
63,62,Roschon Johnson,CHI,22,RB,5,0,25,122,1,6,48.0,29,4.9,24.4,0
64,63,Baker Mayfield,TAM,28,QB,5,5,25,67,0,4,36.0,10,2.7,13.4,1
65,64,Anthony Richardson,IND,21,QB,4,4,25,136,4,8,64.0,23,5.4,34.0,3
66,65,Kendre Miller,NOR,21,RB,5,0,24,73,0,4,33.3,10,3.0,14.6,0
67,66,Samaje Perine,DEN,28,RB,6,1,24,88,0,5,37.5,12,3.7,14.7,2
68,67,Craig Reynolds,DET,27,RB,6,0,24,89,1,5,41.7,19,3.7,14.8,0
69,68,Zach Charbonnet,SEA,22,RB,5,0,23,109,0,9,56.5,15,4.7,21.8,0
70,69,Damien Harris,BUF,26,RB,6,0,23,94,1,9,65.2,11,4.1,15.7,0
71,70,Josh Allen,BUF,27,QB,6,6,22,131,3,11,68.2,23,6.0,21.8,2
72,71,Kareem Hunt,CLE,28,RB,3,1,22,72,1,6,50.0,16,3.3,24.0,0
73,72,Keaontay Ingram,ARI,24,RB,4,1,22,55,0,2,22.7,12,2.5,13.8,0
74,73,Russell Wilson,DEN,35,QB,6,6,22,150,0,13,68.2,21,6.8,25.0,3
75,74,Tony Jones,NOR,26,RB,4,1,21,70,2,6,47.6,19,3.3,17.5,0
76,75,Jordan Mason,SFO,24,RB,6,0,21,117,2,6,61.9,26,5.6,19.5,0
77,76,Tank Bigsby,JAX,22,RB,7,0,20,45,2,6,40.0,9,2.3,6.4,1
78,77,D'Onta Foreman,CHI,27,RB,2,1,20,81,0,4,60.0,11,4.1,40.5,1
79,78,Desmond Ridder,ATL,24,QB,6,6,20,75,2,6,45.0,13,3.8,12.5,3
80,79,Deuce Vaughn,DAL,22,RB,5,0,20,40,0,1,10.0,13,2.0,8.0,0
81,80,Sam Howell,WAS,23,QB,6,6,19,104,1,6,42.1,20,5.5,17.3,2
82,81,Dak Prescott,DAL,30,QB,6,6,19,85,1,7,42.1,18,4.5,14.2,0
83,82,Zach Wilson,NYJ,24,QB,6,5,19,98,0,4,52.6,16,5.2,16.3,3
84,83,Jimmy Garoppolo,LVR,32,QB,5,5,18,27,0,5,27.8,8,1.5,5.4,1
85,84,Jordan Love,GNB,25,QB,5,5,18,109,2,7,50.0,26,6.1,21.8,2
86,85,Elijah Mitchell,SFO,25,RB,3,0,18,49,0,2,22.2,18,2.7,16.3,0
87,86,Deebo Samuel,SFO,27,WR,6,6,18,95,1,3,66.7,17,5.3,15.8,1
88,87,C.J. Stroud,HOU,22,QB,6,6,18,55,0,6,50.0,11,3.1,9.2,3
89,88,Emari Demercado,ARI,24,RB,6,0,16,59,1,3,43.8,11,3.7,9.8,0
90,89,Antonio Gibson,WAS,25,RB,6,0,16,69,0,3,37.5,13,4.3,11.5,3
91,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
92,90,Jared Goff,DET,29,QB,6,6,16,15,2,4,25.0,11,0.9,2.5,0
93,91,Mac Jones,NWE,25,QB,6,6,16,59,0,7,56.3,18,3.7,9.8,2
94,92,Kenny Pickett,PIT,25,QB,5,5,16,12,0,4,31.3,10,0.8,2.4,0
95,93,Chris Brooks,MIA,23,RB,6,0,15,94,0,2,33.3,52,6.3,15.7,0
96,94,Brock Purdy,SFO,24,QB,6,6,15,31,2,6,53.3,17,2.1,5.2,5
97,95,Sean Tucker,TAM,22,RB,5,0,15,23,0,1,26.7,7,1.5,4.6,0
98,96,Ke'Shawn Vaughn,TAM,26,RB,3,0,15,25,0,0,26.7,8,1.7,8.3,0
99,97,Deshaun Watson,CLE,28,QB,3,3,15,83,1,7,66.7,13,5.5,27.7,4
100,98,Joe Burrow,CIN,27,QB,6,6,14,14,0,3,35.7,10,1.0,2.3,1
101,99,Derek Carr,NOR,32,QB,7,7,14,21,0,3,35.7,10,1.5,3.0,2
102,100,Aaron Jones,GNB,29,RB,2,2,14,59,1,3,71.4,9,4.2,29.5,0
103,101,Tua Tagovailoa,MIA,25,QB,6,6,14,21,0,2,14.3,7,1.5,3.5,6
104,102,Jonathan Taylor,IND,24,RB,2,0,14,37,0,2,35.7,5,2.6,18.5,0
105,103,Melvin Gordon,BAL,30,RB,2,0,13,53,0,2,23.1,22,4.1,26.5,0
106,104,Eric Gray,NYG,24,RB,6,0,13,27,0,1,30.8,8,2.1,4.5,2
107,105,Deon Jackson,IND,24,RB,2,1,13,14,0,1,15.4,7,1.1,7.0,2
108,106,Ronnie Rivers,LAR,24,RB,6,0,13,57,0,2,53.8,9,4.4,9.5,0
109,107,Pierre Strong,CLE,25,RB,5,0,13,77,1,3,53.8,40,5.9,15.4,0
110,108,Salvon Ahmed,MIA,25,RB,4,0,12,47,1,2,50.0,10,3.9,11.8,0
111,109,Laviska Shenault Jr.,CAR,25,WR,6,0,12,55,0,3,50.0,11,4.6,9.2,1
112,110,Geno Smith,SEA,33,QB,5,5,12,42,0,1,33.3,15,3.5,8.4,0
113,111,Ryan Tannehill,TEN,35,QB,6,6,12,40,1,2,33.3,13,3.3,6.7,3
114,112,Rondale Moore,ARI,23,WR,6,2,11,112,1,2,36.4,45,10.2,18.7,0
115,113,Matthew Stafford,LAR,35,QB,6,6,11,51,0,3,45.5,9,4.6,8.5,0
116,114,Patrick Taylor,GNB,25,RB,4,0,11,31,0,2,18.2,10,2.8,7.8,0
117,115,Kirk Cousins,MIN,35,QB,6,6,10,17,0,5,50.0,10,1.7,2.8,7
118,116,Zamir White,LVR,24,RB,6,0,10,41,0,2,50.0,11,4.1,6.8,1
119,117,Gary Brightwell,NYG,24,RB,6,0,9,19,0,0,22.2,5,2.1,3.2,0
120,118,Darrynton Evans,CHI,25,RB,1,0,9,32,0,3,44.4,12,3.6,32.0,0
121,119,Isaiah Spiller,LAC,22,RB,4,0,9,24,0,0,33.3,6,2.7,6.0,0
122,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
123,120,Tyrod Taylor,NYG,34,QB,5,1,9,40,0,2,44.4,9,4.4,8.0,1
124,121,Khari Blasingame,CHI,27,FB,6,1,8,26,0,0,25.0,6,3.3,4.3,0
125,122,Ty Chandler,MIN,25,RB,6,0,8,42,0,2,50.0,15,5.3,7.0,0
126,123,J.K. Dobbins,BAL,25,RB,1,1,8,22,1,1,50.0,4,2.8,22.0,0
127,124,Elijah Moore,CLE,23,WR,5,3,8,11,0,2,37.5,19,1.4,2.2,1
128,125,Boston Scott,PHI,28,RB,5,0,8,45,0,3,75.0,18,5.6,9.0,0
129,126,Trey Sermon,IND,24,RB,4,0,8,24,0,0,37.5,5,3.0,6.0,0
130,127,Damien Williams,ARI,31,RB,1,0,8,36,0,1,62.5,9,4.5,36.0,0
131,128,Bryce Young,CAR,22,QB,5,5,8,65,0,3,50.0,26,8.1,13.0,4
132,129,Kyle Allen,BUF,27,QB,4,0,7,-7,0,0,0.0,-1,-1.0,-1.8,0
133,130,D'Ernest Johnson,JAX,27,RB,7,0,7,27,0,1,28.6,19,3.9,3.9,0
134,131,Jerick McKinnon,KAN,31,RB,6,0,7,21,0,3,42.9,10,3.0,3.5,0
135,132,Chris Rodriguez,WAS,23,RB,4,0,7,30,0,2,42.9,13,4.3,7.5,0
136,133,Michael Carter,NYJ,24,RB,6,0,6,36,0,2,33.3,9,6.0,6.0,0
137,134,Tyrion Davis-Price,SFO,23,RB,1,0,6,21,0,1,50.0,15,3.5,21.0,0
138,135,Zay Flowers,BAL,23,WR,6,6,6,12,0,0,33.3,6,2.0,2.0,0
139,136,Gardner Minshew II,IND,27,QB,6,2,6,8,0,0,0.0,2,1.3,1.3,2
140,137,Rashid Shaheed,NOR,25,WR,7,3,6,33,0,1,83.3,12,5.5,4.7,1
141,138,KaVontae Turpin,DAL,27,WR,6,0,6,66,1,3,66.7,46,11.0,11.0,1
142,139,Raheem Blackshear,CAR,24,RB,2,0,5,18,0,1,60.0,9,3.6,9.0,0
143,140,DeeJay Dallas,SEA,25,RB,5,0,5,14,0,0,40.0,8,2.8,2.8,0
144,141,Sam Darnold,SFO,26,QB,4,0,5,-5,0,0,0.0,-1,-1.0,-1.3,0
145,142,Erik Ezukanma,MIA,23,WR,2,0,5,22,0,1,60.0,12,4.4,11.0,0
146,143,Kadarius Toney,KAN,24,WR,6,2,5,-2,0,0,0.0,3,-0.4,-0.3,1
147,144,Trayveon Williams,CIN,26,RB,6,0,5,20,0,1,40.0,5,4.0,3.3,0
148,145,Emanuel Wilson,GNB,24,RB,3,0,5,11,0,0,40.0,7,2.2,3.7,1
149,146,Jamal Agnew,JAX,28,WR,6,1,4,-2,0,0,0.0,1,-0.5,-0.3,1
150,147,Derius Davis,LAC,23,WR,5,0,4,61,0,2,50.0,51,15.3,12.2,1
151,148,Tank Dell,HOU,24,WR,5,3,4,9,0,0,50.0,7,2.3,1.8,1
152,149,Elijah Dotson,LAC,24,RB,4,0,4,6,0,0,25.0,2,1.5,1.5,0
153,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
154,150,Chase Edmonds,TAM,27,RB,2,0,4,20,0,2,75.0,14,5.0,10.0,0
155,151,Zach Evans,LAR,22,RB,2,0,4,10,0,0,0.0,3,2.5,5.0,0
156,152,Velus Jones Jr.,CHI,26,WR,5,0,4,22,0,1,50.0,17,5.5,4.4,0
157,153,Calvin Ridley,JAX,29,WR,7,7,4,10,0,1,25.0,11,2.5,1.4,1
158,154,Cooper Rush,DAL,30,QB,3,0,4,-4,0,0,0.0,0,-1.0,-1.3,0
159,155,Curtis Samuel,WAS,27,WR,6,3,4,20,1,2,75.0,13,5.0,3.3,0
160,156,Dorian Thompson-Robinson,CLE,24,QB,2,1,4,24,0,1,25.0,12,6.0,12.0,1
161,157,Mike White,MIA,28,QB,2,0,4,-5,0,0,0.0,-1,-1.3,-2.5,0
162,158,C.J. Beathard,JAX,30,QB,2,0,3,-2,0,0,0.0,0,-0.7,-1.0,0
163,159,Harrison Bryant,CLE,25,TE,5,2,3,6,0,3,100.0,2,2.0,1.2,0
164,160,Michael Burton,DEN,31,FB,6,0,3,5,0,2,66.7,3,1.7,0.8,0
165,161,Andy Dalton,CAR,36,QB,3,1,3,12,0,2,66.7,10,4.0,4.0,0
166,162,Devin Duvernay,BAL,26,WR,6,1,3,15,0,0,66.7,8,5.0,2.5,0
167,163,Xavier Gipson,NYJ,22,WR,6,0,3,31,0,2,66.7,18,10.3,5.2,3
168,164,Deonte Harty,BUF,26,WR,6,1,3,2,0,0,33.3,4,0.7,0.3,1
169,165,Brian Hoyer,LVR,38,QB,2,0,3,-3,0,0,0.0,-1,-1.0,-1.5,0
170,166,Kyle Juszczyk,SFO,32,FB,6,6,3,6,0,1,66.7,3,2.0,1.0,0
171,167,Zonovan Knight,DET,22,RB,2,0,3,13,0,0,33.3,8,4.3,6.5,0
172,168,CeeDee Lamb,DAL,24,WR,6,6,3,21,0,1,66.7,12,7.0,3.5,1
173,169,Hunter Luepke,DAL,23,RB,6,0,3,13,1,2,66.7,9,4.3,2.2,0
174,170,Marvin Mims,DEN,21,WR,6,2,3,13,0,0,33.3,8,4.3,2.2,1
175,171,Skyy Moore,KAN,23,WR,6,5,3,23,0,1,100.0,11,7.7,3.8,0
176,172,Aidan O'Connell,LVR,25,QB,1,1,3,3,1,2,66.7,2,1.0,3.0,3
177,173,Devine Ozigbo,DET,27,RB,1,0,3,5,0,1,66.7,4,1.7,5.0,0
178,174,Rashaad Penny,PHI,27,RB,1,0,3,9,0,1,33.3,6,3.0,9.0,0
179,175,Kalif Raymond,DET,29,WR,6,3,3,54,0,2,66.7,40,18.0,9.0,0
180,176,Deven Thompkins,TAM,24,WR,5,1,3,27,0,2,100.0,11,9.0,5.4,1
181,177,Tre Tucker,LVR,22,WR,5,0,3,54,0,2,100.0,34,18.0,10.8,0
182,178,P.J. Walker,CLE,28,QB,1,1,3,1,0,1,33.3,1,0.3,1.0,0
183,179,Malik Willis,TEN,24,QB,2,0,3,17,0,1,33.3,11,5.7,8.5,0
184,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
185,180,Jameis Winston,NOR,29,QB,3,0,3,-4,0,0,0.0,-1,-1.3,-1.3,0
186,181,Keenan Allen,LAC,31,WR,5,5,2,6,0,1,100.0,4,3.0,1.2,1
187,182,Tutu Atwell,LAR,24,WR,6,6,2,27,0,1,100.0,22,13.5,4.5,0
188,183,Calvin Austin,PIT,24,WR,5,1,2,3,0,0,50.0,5,1.5,0.6,0
189,184,Tyson Bagent,CHI,23,QB,1,0,2,4,1,1,50.0,3,2.0,4.0,1
190,185,Andrew Beck,HOU,27,FB,6,6,2,2,0,1,50.0,2,1.0,0.3,0
191,186,Mike Boone,HOU,28,RB,5,0,2,15,0,2,100.0,11,7.5,3.0,1
192,187,Teddy Bridgewater,DET,31,QB,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,0
193,188,Chase Brown,CIN,23,RB,5,0,2,6,0,0,0.0,4,3.0,1.2,0
194,189,DeAndre Carter,LVR,30,WR,6,1,2,3,0,1,50.0,3,1.5,0.5,1
195,190,Brandin Cooks,DAL,30,WR,5,5,2,20,0,1,100.0,14,10.0,4.0,1
196,191,Chris Evans,CIN,26,RB,4,0,2,12,0,0,0.0,7,6.0,3.0,0
197,192,Gerald Everett,LAC,29,TE,5,4,2,4,0,0,0.0,2,2.0,0.8,1
198,193,Jake Funk,IND,25,RB,4,0,2,10,0,0,0.0,7,5.0,2.5,0
199,194,Blaine Gabbert,KAN,34,QB,1,0,2,-1,0,0,0.0,0,-0.5,-1.0,0
200,195,Marquise Goodwin,CLE,33,WR,5,0,2,21,0,1,50.0,20,10.5,4.2,0
201,196,Tyler Huntley,BAL,25,QB,1,0,2,8,0,0,0.0,6,4.0,8.0,0
202,197,Xavier Hutchinson,HOU,23,WR,6,0,2,15,0,1,100.0,12,7.5,2.5,0
203,198,Alec Ingold,MIA,27,FB,6,6,2,0,0,0,0.0,0,0.0,0.0,0
204,199,Cole Kmet,CHI,24,TE,6,6,2,1,0,1,50.0,1,0.5,0.2,1
205,200,Ray-Ray McCloud,SFO,27,WR,6,1,2,23,0,2,100.0,15,11.5,3.8,0
206,201,Ty Montgomery,NWE,30,WR,6,0,2,7,0,0,50.0,7,3.5,1.2,0
207,202,Puka Nacua,LAR,22,WR,6,6,2,4,0,1,50.0,4,2.0,0.7,1
208,203,Dare Ogunbowale,HOU,29,RB,1,0,2,4,0,1,50.0,2,2.0,4.0,0
209,204,Brandon Powell,MIN,28,WR,6,0,2,8,0,0,50.0,9,4.0,1.3,1
210,205,Wan'Dale Robinson,NYG,22,WR,4,1,2,8,0,1,50.0,7,4.0,2.0,0
211,206,Tyler Scott,CHI,22,WR,6,0,2,19,0,0,100.0,11,9.5,3.2,0
212,207,Ameer Abdullah,LVR,30,RB,6,0,1,4,0,0,0.0,4,4.0,0.7,0
213,208,Mark Andrews,BAL,28,TE,5,4,1,0,0,0,0.0,0,0.0,0.0,0
214,209,Nick Bawden,NYJ,27,FB,6,1,1,1,1,1,100.0,1,1.0,0.2,0
215,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
216,210,Braxton Berrios,MIA,28,WR,6,0,1,11,0,1,100.0,11,11.0,1.8,0
217,211,Kendrick Bourne,NWE,28,WR,6,3,1,4,0,1,100.0,4,4.0,0.7,0
218,212,Marquise Brown,ARI,26,WR,6,6,1,29,0,1,100.0,29,29.0,4.8,0
219,213,Noah Brown,HOU,27,WR,2,0,1,-1,0,0,0.0,-1,-1.0,-0.5,0
220,214,Jake Browning,CIN,27,QB,1,0,1,-1,0,0,0.0,-1,-1.0,-1.0,0
221,215,Treylon Burks,TEN,23,WR,3,3,1,9,0,0,100.0,9,9.0,3.0,0
222,216,Jason Cabinda,DET,27,FB,3,0,1,0,0,0,0.0,0,0.0,0.0,0
223,217,Ja'Marr Chase,CIN,23,WR,6,6,1,2,0,0,0.0,2,2.0,0.3,0
224,218,Sean Clifford,GNB,25,QB,1,0,1,0,0,0,0.0,0,0.0,0.0,1
225,219,Ashtyn Davis,NYJ,27,S,6,2,1,4,0,1,100.0,4,4.0,0.7,0
226,220,Gabriel Davis,BUF,24,WR,6,6,1,-2,0,0,0.0,-2,-2.0,-0.3,1
227,221,Demario Douglas,NWE,23,WR,5,0,1,5,0,0,100.0,5,5.0,1.0,1
228,222,Kenyan Drake,BAL,29,RB,2,0,1,0,0,0,0.0,0,0.0,0.0,1
229,223,Noah Gray,KAN,24,TE,6,4,1,1,0,0,0.0,1,1.0,0.2,0
230,224,Peyton Hendershot,DAL,24,TE,3,0,1,0,0,0,0.0,0,0.0,0.0,0
231,225,Connor Heyward,PIT,24,TE,5,0,1,0,0,0,0.0,0,0.0,0.0,0
232,226,Tyreek Hill,MIA,29,WR,6,6,1,14,0,1,100.0,14,14.0,2.3,0
233,227,KhaDarel Hodge,ATL,28,WR,6,1,1,0,0,0,0.0,0,0.0,0.0,1
234,228,Evan Hull,IND,23,RB,1,0,1,1,0,0,0.0,1,1.0,1.0,0
235,229,Rakim Jarrett,TAM,22,WR,5,0,1,0,0,0,0.0,0,0.0,0.0,0
236,230,Van Jefferson,2TM,27,,6,4,1,4,0,0,100.0,4,4.0,0.7,0
237,231,Christian Kirk,JAX,27,WR,7,7,1,6,0,0,100.0,6,6.0,0.9,1
238,232,Drew Lock,SEA,27,QB,1,0,1,11,0,1,100.0,11,11.0,11.0,0
239,233,Isaiah McKenzie,IND,28,WR,6,0,1,4,0,0,100.0,4,4.0,0.7,0
240,234,Jakobi Meyers,LVR,27,WR,5,5,1,0,0,0,0.0,0,0.0,0.0,0
241,235,Keisean Nixon,GNB,26,CB,5,3,1,11,0,1,100.0,11,11.0,2.2,0
242,236,Cordarrelle Patterson,ATL,32,RB,3,0,1,0,0,0,0.0,0,0.0,0.0,0
243,237,George Pickens,PIT,22,WR,5,5,1,16,0,1,100.0,16,16.0,3.2,1
244,238,Kyle Pitts,ATL,23,TE,6,4,1,-4,0,0,0.0,-4,-4.0,-0.7,0
245,239,Adam Prentice,NOR,26,FB,5,1,1,5,0,0,100.0,5,5.0,1.0,1
246,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
247,240,Jayden Reed,GNB,23,WR,5,4,1,-2,0,0,0.0,-2,-2.0,-0.4,1
248,241,Jalen Reeves-Maybin,DET,28,LB,6,0,1,3,0,1,100.0,3,3.0,0.5,0
249,242,Rashee Rice,KAN,23,WR,6,0,1,-3,0,0,0.0,-3,-3.0,-0.5,0
250,243,Ben Skowronek,LAR,26,WR,6,0,1,11,0,1,100.0,11,11.0,1.8,0
251,244,Amon-Ra St. Brown,DET,24,WR,5,5,1,4,0,0,0.0,4,4.0,0.8,1
252,245,Adam Thielen,CAR,33,WR,6,6,1,6,0,0,100.0,6,6.0,1.0,0
253,246,Logan Thomas,WAS,32,TE,5,5,1,2,0,1,100.0,2,2.0,0.4,1
254,247,Zeke Turner,ARI,27,LB,6,1,1,2,0,1,100.0,2,2.0,0.3,0
255,248,Jaylen Waddle,MIA,25,WR,5,5,1,-2,0,0,0.0,-2,-2.0,-0.4,0
256,249,Christian Watson,GNB,24,WR,2,2,1,-5,0,0,0.0,-5,-5.0,-2.5,0
257,250,Mike Williams,LAC,29,WR,3,3,1,3,0,0,0.0,3,3.0,1.0,0
